epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.3224,1.75626,0.30594,0.91781,1.68789,0.00031,0.00031,0.00031
2,105.531,1.68795,0.28767,0.94064,1.66645,0.000617526,0.000617526,0.000617526
3,156.221,1.68333,0.3105,0.93151,1.85922,0.00091238,0.00091238,0.00091238
4,207.032,1.69022,0.31963,0.89954,1.67247,0.0009406,0.0009406,0.0009406
5,257.65,1.67713,0.33333,0.92237,1.63648,0.0009208,0.0009208,0.0009208
6,308.402,1.66872,0.3242,0.93607,1.70001,0.000901,0.000901,0.000901
7,359.393,1.6717,0.34247,0.94064,1.68822,0.0008812,0.0008812,0.0008812
8,410.273,1.6695,0.3379,0.94521,1.74861,0.0008614,0.0008614,0.0008614
9,461.083,1.64637,0.34247,0.89498,1.67556,0.0008416,0.0008416,0.0008416
10,511.798,1.65314,0.30137,0.94521,1.63582,0.0008218,0.0008218,0.0008218
11,562.588,1.63311,0.30594,0.93607,1.67176,0.000802,0.000802,0.000802
12,613.3,1.63196,0.34247,0.91324,1.63339,0.0007822,0.0007822,0.0007822
13,664.217,1.62874,0.31507,0.94064,1.7021,0.0007624,0.0007624,0.0007624
14,715.173,1.59993,0.31507,0.93607,1.64071,0.0007426,0.0007426,0.0007426
15,765.868,1.60082,0.35616,0.92237,1.63138,0.0007228,0.0007228,0.0007228
16,816.622,1.61855,0.3242,0.94064,1.74414,0.000703,0.000703,0.000703
17,867.613,1.58933,0.3516,0.93607,1.64668,0.0006832,0.0006832,0.0006832
18,918.543,1.6153,0.33333,0.90411,1.62311,0.0006634,0.0006634,0.0006634
19,969.35,1.58296,0.34247,0.93151,1.60883,0.0006436,0.0006436,0.0006436
20,1020.11,1.59177,0.35616,0.93151,1.59174,0.0006238,0.0006238,0.0006238
21,1070.91,1.58425,0.3653,0.94977,1.61473,0.000604,0.000604,0.000604
22,1121.68,1.57564,0.37443,0.93151,1.61047,0.0005842,0.0005842,0.0005842
23,1172.54,1.57102,0.3516,0.93151,1.56485,0.0005644,0.0005644,0.0005644
24,1222.05,1.56465,0.35616,0.92694,1.60999,0.0005446,0.0005446,0.0005446
25,1270.51,1.54195,0.39726,0.93151,1.53813,0.0005248,0.0005248,0.0005248
26,1317.79,1.55408,0.38813,0.94521,1.65071,0.000505,0.000505,0.000505
27,1364.8,1.52027,0.36986,0.93151,1.58958,0.0004852,0.0004852,0.0004852
28,1412.1,1.56718,0.32877,0.94977,1.56199,0.0004654,0.0004654,0.0004654
29,1459.38,1.52197,0.379,0.94521,1.55024,0.0004456,0.0004456,0.0004456
30,1506.65,1.48778,0.36986,0.92694,1.60466,0.0004258,0.0004258,0.0004258
31,1553.67,1.51379,0.38356,0.92694,1.54514,0.000406,0.000406,0.000406
32,1600.93,1.4677,0.379,0.92237,1.58175,0.0003862,0.0003862,0.0003862
33,1648.18,1.49911,0.39269,0.90868,1.5254,0.0003664,0.0003664,0.0003664
34,1695.31,1.47533,0.37443,0.93607,1.60098,0.0003466,0.0003466,0.0003466
35,1742.46,1.47611,0.36986,0.95434,1.5526,0.0003268,0.0003268,0.0003268
36,1789.33,1.45193,0.38813,0.9726,1.55357,0.000307,0.000307,0.000307
37,1836.77,1.43514,0.38813,0.95434,1.578,0.0002872,0.0002872,0.0002872
38,1883.76,1.44324,0.36986,0.94521,1.50401,0.0002674,0.0002674,0.0002674
39,1930.59,1.43328,0.36986,0.94977,1.5004,0.0002476,0.0002476,0.0002476
40,1977.64,1.43718,0.379,0.91781,1.53154,0.0002278,0.0002278,0.0002278
41,2024.84,1.41355,0.39269,0.94064,1.52478,0.000208,0.000208,0.000208
42,2072.14,1.38677,0.41096,0.94521,1.54352,0.0001882,0.0001882,0.0001882
43,2119.26,1.36781,0.40639,0.94521,1.52703,0.0001684,0.0001684,0.0001684
44,2166.68,1.39766,0.40639,0.9589,1.56118,0.0001486,0.0001486,0.0001486
45,2214.05,1.37291,0.39269,0.93607,1.49429,0.0001288,0.0001288,0.0001288
46,2261.28,1.37189,0.39269,0.94064,1.51554,0.000109,0.000109,0.000109
47,2308.43,1.36187,0.40639,0.95434,1.4702,8.92e-05,8.92e-05,8.92e-05
48,2356.53,1.3548,0.42466,0.94977,1.50374,6.94e-05,6.94e-05,6.94e-05
49,2404.62,1.33731,0.42009,0.94977,1.52121,4.96e-05,4.96e-05,4.96e-05
50,2452.5,1.34017,0.40183,0.95434,1.52619,2.98e-05,2.98e-05,2.98e-05
